Gene	Astrocyte	Endothelial	Excitatory	Inhibitory	Microglia	Oligo
CASP1	2.762854	16.367987	0.0	0.0	142.969589	13.348807
CCK	104.31514	51.168659	1224.230103	4761.45459	0.093492	157.243866
CD300A	0.0	0.0	0.0	5.054161	388.711975	0.0
CD300C	0.0	0.0	9.176813	4.392808	228.1026	0.0
CD53	20.71299	0.0	56.184532	0.949444	2959.2229	3.644522
CD55	16.590887	142.969589	27.947311	75.025291	286.411011	375.602325
CD83	110.700325	1050.694092	160.055573	59.514709	4105.476074	4.392808
CD9	94.354332	493.947784	21.603325	16.367987	121.795166	1224.230103
CEBPD	77.118645	334.664734	25.678423	1.230956	10.904716	0.301792
CELF2	253.478745	33.656281	644.098511	342.168793	107.770195	21.898422
CHN1	443.951721	20.71299	4105.476074	469.624176	0.14508	65.253799
CISH	0.0	0.0	0.0	0.0	0.527596	0.0
CLDN11	0.58545	72.00325	43.942719	16.590887	3.165928	1539.501587
CLEC9A	0.0	27.57798	0.0	0.0	18.558334	3.165928
CMTM7	6.599161	0.0	0.0	0.0	9.583197	6.86632
CNKSR2	80.774162	1.883856	334.664734	211.699585	0.064135	18.031603
CNN3	1539.501587	560.621094	224.567444	228.1026	3.500858	493.947784
CNP	298.341736	185.116318	201.986938	276.683868	69.327682	16638.257812
CNPY3	328.983948	17.111677	89.762787	73.917297	276.683868	27.947311
CNR1	7.178958	30.770506	211.699585	1224.230103	0.169884	30.770506
COL11A1	224.567444	6.86632	104.31514	272.620911	0.0	11.168631
COL5A3	82.803734	0.197953	4.114447	0.0	0.0	11.60307
COL9A1	12.740485	0.527596	0.912492	6.599161	0.0	16.367987
CPE	4761.45459	858.383606	2063.162354	1539.501587	8.269954	208.0177
CPM	64.412376	121.795166	10.904716	3.061368	313.135223	211.699585
CREB3L2	54.082699	24.967518	3.165928	1.767061	19.879618	89.762787
CRY1	32.720993	172.794769	21.066183	19.879618	52.030571	185.116318
CRYAB	1600.537476	912.91925	702.48938	560.621094	6.86632	6982.481934
CST3	747.729797	101.029221	59.514709	34.489288	12.421024	10.018604
CTSB	320.787079	7.178958	313.135223	375.602325	747.729797	135.800369
CTSC	7.807095	0.447831	6.207572	0.717406	32.720993	1.206731
CTSS	0.0	44.972214	18.031603	17.111677	82.803734	6.599161
CX3CR1	0.0	26.829103	0.0	5.253578	787.865662	18.558334
CXCL16	40.180454	0.0	0.0	1.348512	84.120552	2.091062
CYBA	0.0	0.0	0.0	0.0	4.243459	0.0
CYTL1	0.0	0.0	0.0	1.293793	61.247776	1.150978
DAPP1	0.0	0.0	0.749836	0.0	9.176813	0.0
DCN	142.969589	2959.2229	31.981226	181.515579	40.180454	26.829103
DEF6	0.0	0.0	0.0	0.0	4.93737	0.0
DHRS3	388.711975	25.678423	0.0	7.178958	303.567749	0.275278
DHRS9	0.07505	0.169884	0.14508	0.050662	2063.162354	0.0
DLX1	7.513885	14.11451	8.768614	243.79097	0.0	29.247362
DSCAM	0.373288	0.0	77.118645	94.354332	0.275278	16.590887
DUSP6	286.411011	375.602325	443.951721	117.694359	1468.397461	67.821503
EBI3	0.0	0.0	0.0	13.585332	27.57798	0.0
EDN3	0.0	194.593658	0.275278	0.0	0.0	0.0
EDNRB	1767.590576	4.114447	20.71299	87.689209	6.207572	40.526978
EHD4	15.657638	30.485533	0.0	2.033114	16.367987	0.0
EIF4EBP1	2.033114	0.0	0.0	6.86632	29.247362	0.0
EMB	0.0	0.0	16.367987	7.513885	77.118645	0.109214
ENC1	3.165928	7.513885	1265.892944	424.123688	19.563995	11.956702
ENPP2	3.061368	243.79097	45.851414	69.327682	1.399147	1468.397461
EPAS1	26.829103	320.787079	2.435296	0.339902	0.204723	0.866483
ERBB4	258.558105	5.639621	52.030571	912.91925	0.749836	194.593658
ERMN	91.417465	228.1026	41.846729	8.768614	7.178958	4761.45459
ESAM	0.0	54.082699	0.21284	0.0	0.0	0.717406
ETS2	9.583197	135.800369	68.915115	10.573278	604.777466	2.548051
EZR	2340.328613	424.123688	82.803734	52.030571	224.567444	68.915115
F3	3399.429932	2340.328613	124.532722	64.412376	1.486428	35.677277
FAM72A	0.0	0.866483	1.552417	0.0	2.259212	0.0
FBP1	0.0	0.0	4.514905	0.0	37.36039	0.0
FCER1G	20.196131	0.0	0.0	40.180454	1265.892944	4.93737
FCGR2A	0.275278	10.318216	0.0	8.991097	58.785618	40.986797
FGD4	157.243866	67.821503	36.796146	53.219112	116.446732	110.700325
FGF12	5.125467	89.762787	1468.397461	2959.2229	0.21284	148.778122
FLT1	2.664538	543.685791	0.58545	24.967518	79.415123	0.749836
FOLR2	0.064135	0.109214	0.0	0.785603	1050.694092	0.684681
FOXC1	0.0	124.532722	0.339902	0.0	0.0	0.197953
GABRA1	24.558586	39.736126	1539.501587	1881.503906	0.494014	142.969589
GABRA5	0.14508	0.352071	342.168793	36.22126	0.0	4.779809
GAD1	36.796146	8.768614	94.354332	1600.537476	0.0	152.75528
GAD2	8.555511	10.573278	11.956702	253.478745	0.0	9.176813
GAL3ST4	0.232527	0.0	11.168631	0.866483	13.585332	8.269954
GAP43	48.395123	24.558586	2340.328613	616.19519	1.230956	124.532722
GBP2	1.348512	75.025291	2.973605	0.032984	258.558105	0.949444
GFAP	516.830444	0.912492	5.125467	0.093492	0.373288	1.644249
GJA1	4105.476074	139.613556	139.613556	70.52636	0.61349	39.736126
GLDN	43.942719	80.774162	170.836517	55.348518	1600.537476	787.865662
GLIPR1	5.815313	5.815313	49.955658	44.972214	53.219112	28.642754
GLTP	172.794769	253.478745	75.025291	130.97525	42.636162	1265.892944
GLUL	2959.2229	762.484314	228.1026	185.116318	185.116318	1881.503906
GNB4	165.350082	39.060173	110.008522	113.138222	375.602325	41.846729
GPI	342.168793	53.219112	747.729797	937.200989	64.412376	165.350082
GPR37	75.025291	286.411011	39.060173	47.236458	0.0	679.465088
GPR37L1	702.48938	3.644522	20.196131	9.813123	3.644522	61.247776
GPX1	84.120552	116.446732	121.795166	286.411011	762.484314	75.025291
GRIA4	52.030571	2.762854	190.273987	346.867767	0.447831	121.795166
GRIK2	45.851414	12.421024	272.620911	858.383606	0.0	40.180454
GSTP1	334.664734	1224.230103	194.593658	443.951721	146.015121	424.123688
HAMP	0.0	0.0	1.486428	0.0	12.740485	0.0
HCK	6.207572	6.599161	0.0	0.252056	21.066183	0.0
HCLS1	0.0	0.0	10.318216	3.165928	55.348518	2.337557
HHIP	8.269954	3.165928	1.767061	3.966752	0.0	334.664734
HK2	0.352071	8.269954	0.373288	0.0	8.991097	51.168659
HLA-C	56.775959	43.942719	8.269954	11.60307	31.981226	4.243459
HLA-DRA	0.0	2.847533	7.807095	21.066183	858.383606	2.259212
HMGCS1	762.484314	616.19519	424.123688	762.484314	190.273987	747.729797
HPGD	0.0	2.259212	0.0	0.085815	0.467533	0.0
HSPA1A	3.966752	1.552417	4.392808	1.486428	4.114447	14.11451
HSPA2	139.613556	91.417465	10.573278	4.662689	16.590887	644.098511
HTR2A	0.252056	8.555511	560.621094	18.031603	0.0	7.513885
ID2	1881.503906	644.098511	2545.672119	787.865662	1351.87207	272.620911
ID4	1351.87207	49.955658	40.180454	56.775959	0.949444	56.184532
IDI1	1468.397461	702.48938	298.341736	747.729797	39.736126	858.383606
IER3	0.21284	8.991097	7.513885	0.064135	9.813123	0.0
IFNGR1	236.147491	1600.537476	56.775959	478.252747	1539.501587	560.621094
IL13RA1	10.318216	97.487526	0.0	0.494014	424.123688	21.066183
IL1RAP	0.138958	0.204723	54.082699	20.196131	181.515579	33.656281
INA	19.563995	19.563995	286.411011	702.48938	0.0	64.412376
INTS6	39.736126	148.778122	69.327682	26.121153	2.091062	160.055573
IQGAP1	190.273987	208.0177	36.22126	58.785618	21.898422	356.492126
IRAK3	0.527596	64.412376	1.206731	0.66781	73.917297	0.15135
ITGA1	0.0	40.180454	0.0	0.0	0.161437	0.07505
ITGB2	0.0	0.0	1.293793	0.0	12.127246	0.0
ITGB4	68.915115	0.0	0.0	0.045511	0.0	0.10282
ITPR2	604.777466	10.904716	21.898422	19.563995	580.372314	55.348518
JAG1	18.558334	178.599869	23.234684	54.082699	28.642754	10.318216
KHDRBS3	4.93737	59.514709	493.947784	68.915115	10.573278	52.030571
KLF10	58.785618	580.372314	236.147491	49.955658	110.700325	23.234684
KLF6	79.415123	1468.397461	148.778122	101.029221	616.19519	110.008522
LAMP2	937.200989	276.683868	221.294998	408.523499	272.620911	2545.672119
LAP3	346.867767	264.760071	87.689209	77.118645	165.350082	443.951721
LAPTM5	0.204723	0.138958	0.15135	27.57798	912.91925	79.415123
LCP2	0.0	0.58545	0.0	31.981226	148.778122	0.085815
LGALS1	356.492126	1767.590576	264.760071	298.341736	22.591091	69.327682
LHFPL2	13.348807	4.243459	5.253578	0.684681	334.664734	3.500858
LIPA	243.79097	55.348518	84.120552	24.558586	937.200989	702.48938
LMO4	42.636162	16.590887	258.558105	28.642754	2.337557	53.219112
LPCAT2	0.109214	3.303293	2.762854	4.114447	443.951721	30.031612
LPXN	170.836517	77.118645	55.348518	14.551047	97.487526	170.836517
LYZ	17.111677	0.21284	0.527596	0.040526	342.168793	0.0
MAFB	35.677277	30.031612	37.36039	160.055573	478.252747	22.591091
MAFF	70.52636	181.515579	0.0	2.548051	11.956702	94.354332
MAGI1	53.219112	4.93737	117.694359	320.787079	0.66781	47.236458
MBP	37.962456	236.147491	73.917297	135.800369	36.796146	1351.87207
MED12L	113.138222	0.373288	33.656281	43.942719	104.31514	15.047935
MGST1	560.621094	15.047935	3.061368	0.197953	0.0	3.794698
MKLN1	375.602325	61.247776	142.969589	121.795166	8.768614	253.478745
MLC1	248.780762	0.252056	1.348512	0.109214	0.0	0.0
MOB1A	47.236458	12.127246	22.591091	0.749836	62.542725	15.657638
MOBP	13.585332	33.177849	2.259212	8.555511	0.0	580.372314
MSN	67.821503	248.780762	2.091062	2.847533	91.417465	104.31514
MSX1	37.36039	516.830444	0.717406	2.259212	49.955658	39.060173
MTHFD2	4.392808	40.986797	1.987264	9.176813	516.830444	72.00325
MYC	31.981226	22.591091	24.558586	10.018604	194.593658	0.0
MYO1F	1.486428	0.0	0.494014	0.0	13.034012	0.0
MYO9B	2.337557	4.392808	5.815313	2.762854	15.047935	84.120552
MYT1L	11.168631	9.176813	478.252747	644.098511	0.0	44.972214
NAP1L3	148.778122	19.879618	1881.503906	4105.476074	0.0	469.624176
NCAN	644.098511	1.399147	135.800369	45.851414	0.684681	0.0
NEDD9	36.22126	125.54541	12.740485	0.138958	253.478745	2.762854
NELL2	1.00281	0.405803	604.777466	328.983948	0.0	70.52636
NEUROD6	0.169884	2.033114	1600.537476	0.0	0.0	1.552417
NFKBIZ	130.97525	443.951721	24.967518	8.269954	493.947784	224.567444
NINJ1	107.770195	23.234684	13.034012	5.815313	24.967518	14.551047
NPC2	264.760071	211.699585	19.879618	30.770506	356.492126	228.1026
NPL	146.015121	1.486428	6.86632	10.318216	130.97525	87.689209
NPTX1	4.243459	5.125467	858.383606	5.125467	0.0	0.912492
NR4A1	97.487526	328.983948	130.97525	29.247362	5.639621	190.273987
NRIP3	3.794698	130.97525	125.54541	1468.397461	40.526978	42.636162
NTRK2	1224.230103	42.636162	178.599869	248.780762	0.180471	101.029221
OLFM3	2.847533	0.032984	912.91925	493.947784	1.293793	30.485533
OLIG1	24.967518	26.121153	0.405803	40.526978	3.966752	516.830444
OLR1	0.10282	0.0	32.720993	13.034012	6982.481934	0.66781
OPALIN	9.813123	258.558105	51.168659	13.348807	0.912492	2340.328613
OSCAR	0.405803	0.0	2.033114	0.0	4.662689	0.405803
P2RX4	1.206731	1.150978	12.421024	2.973605	208.0177	25.678423
PABPC1	208.0177	408.523499	157.243866	303.567749	679.465088	276.683868
PABPC3	29.247362	48.395123	13.348807	21.898422	51.168659	45.851414
PAG1	44.972214	157.243866	58.785618	11.168631	101.029221	139.613556
PAK1	9.176813	52.030571	375.602325	224.567444	25.678423	62.542725
PCDH15	0.0	0.232527	15.047935	39.736126	2.033114	34.489288
PCLO	12.127246	7.807095	543.685791	258.558105	0.352071	54.082699
PDE1A	0.180471	36.22126	253.478745	14.11451	0.0	264.760071
PDPN	21.066183	0.0	13.585332	26.829103	135.800369	0.0
PDZD2	3.644522	36.796146	8.555511	30.485533	2.548051	49.955658
PEAR1	0.0	82.803734	0.197953	0.15135	0.045511	0.0
PELI1	1.049473	679.465088	185.116318	110.008522	320.787079	342.168793
PGM5	0.0	14.551047	0.0	0.0	23.234684	0.0
PIM1	13.034012	18.031603	110.700325	33.656281	34.489288	8.555511
PLCB2	0.0	0.0	1.230956	0.0	6.599161	0.169884
PLD4	0.0	0.0	0.0	0.0	5.125467	0.0
PLEK	21.603325	0.467533	2.664538	21.603325	3399.429932	2.664538
PLEKHH1	61.247776	45.851414	65.253799	12.127246	0.040526	456.765106
PLK3	0.0	62.542725	0.61349	1.883856	44.972214	21.603325
PLLP	0.197953	165.350082	5.054161	142.969589	1.644249	762.484314
PLVAP	0.339902	0.0	0.0	0.447831	11.60307	0.0
PNMA2	117.694359	56.775959	1351.87207	1351.87207	0.032984	82.803734
POGLUT1	178.599869	21.898422	165.350082	201.986938	65.253799	298.341736
PPP1R3C	1265.892944	342.168793	15.657638	56.184532	0.023403	59.514709
PPP2R2C	51.168659	0.785603	79.415123	15.657638	0.0	8.768614
PRDM1	4.779809	170.836517	5.639621	32.720993	139.613556	0.232527
PRKCB	1.883856	28.642754	456.765106	165.350082	26.121153	48.395123
PRRX1	0.866483	73.917297	0.0	0.180471	0.0	2.435296
PSMB8	0.0	0.0	0.0	0.0	2.847533	0.0
PSMG2	493.947784	4.662689	248.780762	313.135223	560.621094	286.411011
PSTPIP2	1.644249	0.61349	0.0	0.0	3.303293	0.0
PTPN6	0.0	4.779809	3.794698	0.61349	172.794769	0.0
PTPRJ	30.770506	3.966752	30.485533	12.740485	20.196131	107.770195
PTPRN2	49.955658	2.337557	72.00325	190.273987	4.392808	17.111677
QDPR	87.689209	65.253799	516.830444	334.664734	45.851414	2959.2229
RAB20	0.045511	0.10282	0.0	0.0	5.253578	0.0
RAB31	424.123688	10.018604	17.111677	48.395123	298.341736	36.796146
RAB33B	89.762787	21.603325	243.79097	139.613556	70.52636	303.567749
RAB39A	0.0	0.0	0.0	0.527596	56.184532	0.0
RAB3A	11.956702	0.339902	181.515579	194.593658	1.987264	10.904716
RAB3C	2.091062	2.548051	48.395123	80.774162	0.0	5.125467
RASAL3	0.0	0.15135	0.0	0.0	3.061368	0.0
RASSF2	62.542725	107.770195	19.563995	33.177849	68.915115	616.19519
RGS12	15.047935	2.435296	12.127246	170.836517	21.603325	2.033114
RGS4	1.552417	160.055573	1767.590576	456.765106	0.301792	24.558586
RGS5	25.678423	1881.503906	16.590887	388.711975	1.206731	37.962456
RGS9	40.526978	0.494014	1.00281	0.58545	0.0	0.252056
RHOH	0.0	0.0	0.0	2.337557	56.775959	0.064135
RNASET2	4.514905	0.684681	14.11451	39.060173	37.962456	0.093492
RND3	26.121153	2063.162354	39.736126	679.465088	43.942719	0.339902
RNF144B	276.683868	113.138222	0.684681	82.803734	328.983948	0.204723
RNF43	40.986797	2.973605	0.352071	0.373288	0.0	0.050662
RPS6KA1	0.0	0.0	0.169884	0.21284	14.11451	6.207572
RUNX1	0.15135	11.956702	0.0	0.0	40.986797	0.14508
RYR2	0.949444	1.206731	346.867767	91.417465	0.0	24.967518
SAMSN1	0.161437	0.085815	0.0	3.303293	644.098511	0.045511
SCD	616.19519	221.294998	146.015121	152.75528	36.22126	4105.476074
SCN3B	8.768614	5.253578	469.624176	172.794769	0.050662	20.71299
SDC4	1050.694092	18.558334	6.599161	1.049473	0.58545	1.348512
SEMA5A	5.253578	79.415123	101.029221	110.700325	0.0	113.138222
SERPINB1	39.060173	3.500858	42.636162	3.644522	24.558586	116.446732
SERPINB9	456.765106	224.567444	97.487526	543.685791	1881.503906	146.015121
SFXN5	211.699585	2.091062	4.93737	1.150978	0.0	1.883856
SGK1	14.11451	346.867767	70.52636	124.532722	1767.590576	604.777466
SH2B3	65.253799	6.207572	67.821503	27.947311	702.48938	91.417465
SH3GL2	27.947311	0.749836	616.19519	107.770195	0.785603	0.032984
SHMT1	10.904716	15.657638	0.0	20.71299	11.168631	27.57798
SLAIN1	125.54541	117.694359	64.412376	104.31514	30.485533	1767.590576
SLC12A2	121.795166	469.624176	113.138222	146.015121	1.00281	937.200989
SLC15A2	858.383606	1.293793	29.247362	7.807095	8.555511	7.807095
SLC17A7	0.0	0.717406	580.372314	0.161437	0.0	5.253578
SLC1A3	6982.481934	201.986938	320.787079	79.415123	1224.230103	408.523499
SLC1A5	0.301792	40.526978	0.0	0.07505	27.947311	0.023403
SLC24A2	28.642754	37.962456	408.523499	356.492126	4.514905	1134.246338
SLC25A18	1134.246338	0.0	33.177849	18.558334	0.0	19.879618
SLC2A5	6.86632	0.180471	0.0	0.0	80.774162	3.966752
SLC2A9	0.467533	1.348512	1.399147	0.0	10.018604	0.128856
SLC30A10	201.986938	1.00281	0.467533	11.956702	0.0	0.040526
SLC35F1	469.624176	69.327682	787.865662	1265.892944	1.049473	125.54541
SLC50A1	73.917297	29.247362	30.031612	10.904716	94.354332	56.775959
SLC7A11	787.865662	313.135223	40.526978	1.206731	0.232527	19.235538
SLC7A7	1.150978	0.0	4.243459	6.207572	221.294998	1.049473
SLC9A9	124.532722	0.0	30.770506	51.168659	67.821503	388.711975
SLCO1A2	0.684681	146.015121	8.991097	0.0	0.0	543.685791
SLCO1C1	2063.162354	68.915115	18.558334	19.235538	35.677277	4.114447
SLIT1	19.235538	0.301792	172.794769	67.821503	0.0	5.815313
SOAT1	59.514709	37.36039	28.642754	36.796146	456.765106	33.177849
SP100	0.032984	87.689209	0.161437	0.405803	33.177849	3.303293
SPARCL1	16638.257812	4761.45459	6982.481934	6982.481934	41.846729	248.780762
SRGN	33.177849	4105.476074	3.500858	97.487526	16638.257812	10.573278
ST6GAL1	2.973605	190.273987	4.779809	3.794698	543.685791	1.00281
ST8SIA4	27.57798	11.168631	3.644522	40.986797	117.694359	0.785603
STK4	16.367987	13.585332	152.75528	41.846729	178.599869	117.694359
STMN1	194.593658	456.765106	16638.257812	2545.672119	19.235538	1600.537476
SULF2	0.61349	84.120552	44.972214	42.636162	14.551047	32.720993
SULT4A1	0.447831	12.740485	679.465088	580.372314	0.0	5.054161
SYK	0.0	0.0	0.093492	0.128856	30.031612	0.58545
SYN1	12.421024	4.514905	303.567749	125.54541	4.779809	37.36039
SYN2	14.551047	0.66781	762.484314	178.599869	1.767061	0.494014
SYNPR	41.846729	35.677277	1134.246338	3399.429932	0.0	73.917297
SYT4	22.591091	11.60307	937.200989	604.777466	0.0	43.942719
TACC1	313.135223	1134.246338	276.683868	148.778122	125.54541	320.787079
TEFM	30.031612	94.354332	47.236458	65.253799	54.082699	172.794769
TGM2	0.0	110.700325	0.07505	0.0	0.0	0.0
TMEM106A	19.879618	3.794698	0.050662	0.023403	10.318216	0.21284
TMEM144	181.515579	152.75528	80.774162	37.36039	110.008522	3399.429932
TMEM156	0.785603	9.583197	0.785603	0.10282	39.060173	0.0
TMEM39A	185.116318	5.054161	61.247776	72.00325	113.138222	80.774162
TMEM71	0.0	41.846729	0.232527	0.467533	170.836517	0.352071
TMX1	408.523499	272.620911	27.57798	236.147491	211.699585	258.558105
TNFRSF12A	2.435296	19.235538	0.045511	0.0	33.656281	1.399147
TNR	1.987264	0.093492	26.829103	5.639621	0.197953	19.563995
TPP1	580.372314	104.31514	328.983948	30.031612	248.780762	201.986938
TREML1	0.0	0.064135	0.040526	0.0	3.794698	0.0
TRIM14	1.293793	0.050662	4.662689	1.987264	7.807095	0.0
TSC22D1	478.252747	1539.501587	1050.694092	1050.694092	47.236458	346.867767
TSPO	34.489288	34.489288	0.032984	3.500858	30.770506	181.515579
UCHL1	110.008522	58.785618	4761.45459	2063.162354	1.883856	243.79097
UCP2	0.128856	2.664538	0.064135	12.421024	72.00325	36.22126
VAMP5	116.446732	787.865662	0.0	0.301792	15.657638	7.178958
VAMP8	0.0	32.720993	0.0	0.204723	201.986938	1.987264
VCAN	21.898422	20.196131	0.66781	61.247776	0.866483	31.981226
VIM	303.567749	937.200989	11.60307	4.779809	2.973605	1.486428
VMO1	1.767061	0.0	0.10282	22.591091	469.624176	0.0
VSNL1	72.00325	21.066183	3399.429932	2340.328613	1.150978	221.294998
WNT5A	4.662689	0.0	1.883856	84.120552	26.829103	4.662689
ZC3H12A	0.66781	9.813123	0.447831	0.0	5.815313	5.639621
ZFP36	543.685791	2545.672119	19.235538	62.542725	408.523499	313.135223
ZFP36L1	272.620911	303.567749	10.018604	1.399147	89.762787	3.061368
ZNF385D	10.573278	1.644249	9.583197	208.0177	0.0	9.583197
ZNF703	0.494014	3.061368	0.0	0.0	0.07505	0.0
