Gene	Astrocyte	Endothelial	Excitatory	Inhibitory	Microglia	Oligo
CD53	13.213654	0.0	46.664864	4.172592	4287.653271	0.749025
CD55	10.31718	191.642287	24.514925	61.660555	535.688871	204.234608
CD83	72.142569	1182.012254	117.058403	49.5028	6987.465726	0.919273
CD9	68.234211	607.019298	20.151902	20.875835	307.435784	1547.311227
CEBPD	55.304421	425.48586	21.749105	4.4991	40.9307	0.081089
CELF2	184.111353	51.984034	448.660171	190.276194	280.682097	5.708773
CHN1	322.613896	34.306107	2691.370878	243.566109	0.0	28.225472
CLDN11	0.601169	103.635917	39.331482	21.287559	6.897206	1914.00449
CLEC9A	0.0	42.659155	0.0	0.524592	62.713363	0.702439
CMTM7	5.017602	0.0	0.0	0.806523	37.37873	1.316051
CNKSR2	56.51474	3.361117	292.41932	137.009238	0.0	4.572848
CNN3	1231.959226	616.598784	178.584196	146.290493	8.593217	362.035443
CNP	222.112228	240.14783	139.664414	171.067234	249.367794	5783.148236
CNPY3	251.997269	26.426506	73.17374	58.481175	527.395919	8.899887
CNR1	5.090307	48.848772	158.661796	703.714505	0.07653	10.382659
COL11A1	162.325368	10.540786	79.668145	167.896043	0.0	2.544168
COL5A3	57.021292	0.086124	3.407543	0.612077	0.0	2.581847
COL9A1	8.752613	0.667494	0.526764	12.465422	0.0	4.267334
CPE	6338.228414	1025.963789	1259.388675	890.573264	30.126089	93.654399
CPM	40.530672	171.895522	9.787559	8.332286	544.846207	110.319128
CRY1	21.594355	213.215071	19.882201	24.585374	195.185818	84.674049
CRYAB	1237.344537	1032.982246	469.115068	285.654046	25.857147	5039.832999
CST3	681.100606	138.5119	50.981534	33.176936	43.918741	2.082304
CTSB	248.691703	10.560734	229.447297	208.014592	1367.597009	50.55929
CTSC	5.254453	0.317532	4.890427	3.755513	116.809697	0.212343
CTSS	0.0	68.823893	16.940398	22.498467	264.731154	1.307394
CX3CR1	0.0	40.985045	0.0	11.400386	1472.046213	4.669939
CXCL16	25.972903	0.0	0.0	4.615771	264.894864	0.424477
CYTL1	0.0	0.0	0.0	4.547857	226.420923	0.211959
DAPP1	0.026093	0.0	0.40043	0.178697	36.813221	0.0
DCN	88.735632	2152.033007	28.733514	121.166653	146.403956	8.731017
DHRS3	311.473863	39.964067	0.0	13.339482	542.423892	0.075242
DHRS9	0.102909	0.066809	0.049888	1.082814	3330.213277	0.0
DLX1	5.126545	21.84746	8.506028	148.919151	0.0	9.229034
DSCAM	0.467391	0.0	59.766417	70.533969	0.145239	4.416612
DUSP6	218.159319	477.60142	333.122017	89.05738	2438.615517	29.219037
EDN3	0.0	250.957924	0.160466	0.687489	0.0	0.0
EDNRB	1401.739036	5.245592	19.623661	64.333307	19.88968	13.104699
EHD4	10.064858	47.529263	0.0	5.910599	55.932277	0.0
EIF4EBP1	1.676151	0.0	0.0	12.509537	94.897904	0.0
EMB	0.0	0.0	15.103642	13.37002	259.319436	0.033596
ENC1	2.421823	11.128192	784.807245	232.38441	65.242142	2.665109
ENPP2	2.296356	315.570801	40.319294	55.960321	1.064498	1868.635573
EPAS1	19.846902	398.018078	2.097643	2.439378	0.102481	0.151552
ERBB4	185.136136	9.002864	42.635231	604.898458	0.354813	90.201003
ERMN	64.889035	282.697654	36.935522	14.11484	26.977656	4707.490377
ESAM	0.0	74.186073	0.143819	0.447432	0.0	0.139321
ETS2	6.596451	185.214835	56.701211	16.464464	1082.393272	0.480263
EZR	2309.506813	518.941643	64.972444	45.308211	478.969598	29.623635
F3	4763.120322	1881.508872	96.292584	53.199257	1.209342	11.957158
FAM72A	0.0	1.347225	1.30044	0.505847	2.289287	0.0
FBP1	0.0	0.0	3.72388	0.840818	123.610995	0.0
FCER1G	13.112726	0.0	0.0	37.967568	2203.762892	1.017589
FCGR2A	0.360752	14.714218	0.0	14.290999	221.245696	13.581181
FGF12	4.183761	130.598241	867.913101	1602.577216	0.134258	58.992951
FLT1	2.006661	612.707786	0.275246	27.230753	261.619387	0.149555
FOLR2	0.089683	0.0	0.0	3.867916	1881.47135	0.138651
FOXC1	0.0	175.963517	0.171067	0.882796	0.0	0.049275
GABRA1	16.881038	59.947682	879.861626	1212.502921	0.239728	51.160311
GABRA5	0.154628	0.252057	297.158662	33.460338	0.0	0.998723
GAD1	24.976393	12.594125	74.100698	1047.461431	0.0	61.102985
GAD2	5.543267	15.133738	10.890872	157.385449	0.0	1.797687
GAL3ST4	0.338928	0.0	9.862252	3.975124	51.4069	1.551831
GAP43	31.821452	39.018399	1267.77647	342.804418	0.946621	42.776769
GBP2	1.302192	109.637764	2.732838	0.975011	504.444029	0.169372
GFAP	359.27818	1.501164	4.498447	1.226376	0.203286	0.351934
GJA1	4937.400538	190.781667	104.879607	56.14676	0.267047	13.032738
GLDN	28.936112	110.50676	122.640114	46.258275	2498.916652	1105.187478
GLIPR1	4.780063	9.828372	41.251255	41.723338	201.961995	9.175602
GLTP	116.786547	326.203693	59.242765	93.23263	165.192	1590.1903
GLUL	3939.461806	837.60032	185.184078	122.957492	444.258471	2553.188697
GNB4	110.080802	59.877005	89.269797	85.280505	628.120306	13.594137
GPI	262.095226	71.927121	473.40847	608.942875	230.573337	66.30959
GPR37	55.209457	344.859873	34.362806	42.450373	0.0	935.381983
GPR37L1	672.563369	5.054596	19.617564	15.214809	9.993705	25.197969
GPX1	58.784678	165.369181	95.765409	171.938065	1392.287381	30.499922
GRIA4	33.639946	4.397739	129.090202	192.76204	0.212862	42.754325
GRIK2	29.684218	18.433225	223.698347	550.934939	0.0	13.037124
GSTP1	258.029969	1252.436617	133.348275	236.145811	346.730674	273.179376
HAMP	0.0	0.0	1.227868	0.043398	45.533068	0.0
HCK	4.948339	10.237721	0.0	2.298224	68.946986	0.0
HCLS1	0.016625	0.0	9.598362	8.343343	209.044443	0.468703
HHIP	5.478727	4.938816	1.553171	9.091841	0.0	164.556811
HK2	0.405652	11.96108	0.180509	0.534621	36.802206	19.248408
HLA-DRA	0.0	4.656426	7.009429	25.668593	1515.967454	0.459823
HMGCS1	715.935734	679.694902	331.929667	481.012403	444.354383	952.739109
HPGD	0.023235	3.907708	0.0	1.209829	0.223765	0.0
HSPA2	86.787657	131.114137	9.682859	10.501808	56.651207	793.531923
HTR2A	0.350996	12.113736	389.068071	22.808781	0.0	1.39897
ID4	1115.724532	69.184075	34.525524	47.431285	0.669221	21.001005
IDI1	1227.923713	765.866345	226.159313	419.094881	142.953196	1211.895688
IER3	0.285993	12.763976	6.69186	1.096519	38.834417	0.0
IFNGR1	172.020379	1566.895725	49.712155	245.4918	2468.955703	432.023697
IL13RA1	6.957433	137.457056	0.0	2.93245	670.20659	5.683986
IL1RAP	0.148692	0.129931	44.549467	24.919734	440.113961	11.504241
INA	12.326178	30.763745	225.79896	380.286821	0.0	28.00497
INTS6	25.950527	194.594846	57.075267	27.608308	2.267777	65.688223
IQGAP1	137.078226	253.133702	31.495238	47.680673	70.876552	189.43912
IRAK3	0.57261	83.371862	0.76828	3.565007	257.922687	0.039223
ITGA1	0.0	60.728079	0.0	0.324958	0.059939	0.017587
ITGB2	0.0	0.0	1.054898	0.367473	42.09087	0.0
ITGB4	44.947363	0.0	0.0	1.022788	0.0	0.030307
ITPR2	471.81903	15.186932	20.197031	23.258114	880.373067	20.680275
JAG1	12.168763	224.007294	21.291579	45.692315	92.639185	2.389792
KHDRBS3	3.797516	79.350187	351.629787	55.750081	40.675203	19.513541
KLF10	38.301018	648.256686	189.199068	44.427926	298.289893	6.599271
KLF6	56.319586	1476.892507	110.667807	75.004784	1115.119125	39.062413
LAMP2	787.961874	342.362292	160.151845	224.523666	523.091933	3297.352454
LAPTM5	0.232562	0.0	0.057156	28.34053	1684.059481	30.772363
LCP2	0.022855	0.783133	0.0	32.397834	354.950079	0.023489
LGALS1	286.087974	1736.294969	216.119819	172.798222	73.500768	29.74127
LHFPL2	8.994188	5.391348	4.518579	3.655097	562.393801	0.740621
LIPA	172.753823	74.553506	69.704163	26.88381	1718.816864	937.924035
LMO4	28.843397	24.952095	209.829395	29.326964	2.550785	19.851063
LPCAT2	0.114236	5.02952	2.4621	9.709621	679.104536	9.490332
LYZ	10.815111	0.142064	0.2581	1.020872	580.195415	0.0
MAFB	22.878771	47.236119	33.33583	106.986406	700.441017	5.998071
MAFF	49.926957	237.917954	0.0	7.512842	41.843815	36.022463
MAGI1	33.731804	7.477093	95.567353	178.774034	0.298072	16.517793
MBP	25.216691	300.74496	59.166853	96.688403	122.031163	1769.49857
MED12L	74.303296	0.256383	30.639949	40.527132	279.567896	3.890644
MGST1	416.604462	23.113696	2.760867	2.033036	0.0	0.76077
MKLN1	298.509054	79.491946	108.244987	89.785668	36.246025	143.492627
MLC1	181.048887	0.166579	1.176281	1.289766	0.0	0.0
MOB1A	30.408307	18.248673	20.613736	3.786822	226.905538	4.151928
MOBP	9.363187	51.921868	1.993204	14.008521	0.0	443.953855
MSN	44.427493	324.795853	1.911938	7.784039	272.671951	37.036114
MSX1	25.20697	609.973653	0.356689	5.957213	180.825783	12.838106
MTHFD2	3.139923	62.894932	1.648629	14.369185	752.308883	30.403315
MYC	21.362497	37.600408	21.587728	15.31353	453.604255	0.0
MYO1F	1.399404	0.0	0.244658	0.31221	47.23955	0.0
MYO9B	1.804577	5.652727	4.664005	7.777865	53.071727	33.325057
MYT1L	7.311801	12.783928	347.132289	359.511929	0.0	16.091145
NAP1L3	102.18313	33.147825	997.205405	1788.343193	0.0	299.702409
NCAN	572.610423	2.997532	98.010357	41.965449	0.300059	0.0
NEDD9	23.335197	179.585956	11.690288	1.386748	503.688242	0.550806
NELL2	0.966601	0.271483	400.431974	181.780953	0.0	30.389058
NEUROD6	0.198034	3.546397	914.247211	0.909953	0.0	0.296405
NFKBIZ	83.450487	554.088995	21.610376	13.875014	747.145903	115.692412
NPL	91.341694	3.216236	6.44794	16.188515	323.653684	34.633164
NPTX1	3.030316	8.012009	582.564968	11.166288	0.0	0.163065
NR4A1	68.575396	419.988491	97.697008	30.279814	18.51157	86.288164
NRIP3	2.733666	181.539061	97.200789	877.576236	149.335015	14.843392
NTRK2	916.844431	67.610476	124.66848	155.021159	0.092448	36.712937
OLFM3	2.083731	0.0	596.194191	246.309346	1.012237	10.323837
OLIG1	17.059924	40.338128	0.196413	38.225419	10.292533	386.879821
OLR1	0.113162	0.0	28.960093	18.975139	8679.817908	0.133809
OPALIN	6.62265	327.883206	42.525308	19.264933	0.590049	3253.083954
OSCAR	0.492358	0.0	1.756854	0.675966	12.685844	0.094824
P2RX4	1.207911	2.149302	11.518507	8.267631	465.062174	7.349408
PABPC3	20.649453	69.1229	12.405387	26.095541	184.53429	16.495653
PAK1	6.242775	71.00544	312.250471	144.213428	78.146726	26.713046
PCDH15	0.0	0.152434	14.776471	37.151834	2.242672	11.956566
PCLO	8.207618	11.177966	381.132332	158.012002	0.176332	20.195174
PDE1A	0.202338	53.72247	201.359427	19.490954	0.0	144.782687
PDPN	13.423653	0.0	12.468687	27.932803	332.998126	0.0
PDZD2	2.663675	54.52557	7.901391	32.311643	3.157325	18.971604
PEAR1	0.0	112.669811	0.080874	1.492485	0.0	0.0
PELI1	1.138384	716.089759	126.412029	80.895983	548.204502	168.58155
PGM5	0.0	21.936114	0.0	0.127534	74.983789	0.0
PLCB2	0.016146	0.0	0.944615	0.716476	22.135197	0.045047
PLEK	14.623844	0.346683	2.364336	26.007016	4705.997016	0.532806
PLEKHH1	40.151771	68.939484	55.641032	17.956561	0.0	295.838814
PLK3	0.0	79.654567	0.301786	5.749961	171.204676	5.690384
PLLP	0.211235	210.378222	4.434464	100.792539	1.604129	1051.886473
PLVAP	0.39413	0.0	0.0	2.712697	41.697152	0.0
PNMA2	78.32458	76.758381	790.93288	798.460178	0.0	33.161762
PPP1R3C	922.664734	443.950115	15.015878	46.421438	0.0	24.759988
PPP2R2C	32.787537	1.257359	60.350538	20.742006	0.0	1.646649
PRDM1	3.697958	211.633284	4.581066	32.429069	339.525296	0.064184
PRKCB	1.509984	45.485354	337.937748	108.32193	80.738167	18.06567
PRRX1	0.853351	104.847108	0.0	1.847343	0.0	0.477167
PSTPIP2	1.462064	0.866887	0.0	0.5903	8.139884	0.0
PTPN6	0.0	6.252773	3.170039	3.460572	423.152684	0.0
PTPRN2	31.901479	3.941436	59.027093	125.393384	11.663644	4.498295
QDPR	61.62298	86.180364	353.831476	182.670105	177.328233	3403.838581
RAB20	0.066116	0.0	0.0	0.407596	16.179128	0.0
RAB31	321.63923	14.196176	16.517348	43.261134	538.334816	12.174245
RAB3A	7.908115	0.218563	125.379087	130.811067	2.049647	2.49338
RAB3C	1.744083	4.279632	40.544425	61.994148	0.0	1.189928
RASSF2	40.350663	143.9195	19.224123	32.823511	247.918182	748.057166
RGS12	9.810929	4.131872	11.02113	111.39665	69.97441	0.397391
RGS4	1.445973	208.13023	935.174358	236.162301	0.167705	6.868058
RGS5	17.348523	1756.753045	15.772523	209.915684	0.870052	12.761973
RGS9	26.134074	0.46366	0.638322	3.409835	0.0	0.064951
RHOH	0.028775	0.0	0.0	7.093154	219.667035	0.0
RNASET2	3.342623	0.956442	14.096863	35.868843	124.74974	0.028241
RND3	17.567182	1782.120931	34.467342	371.165333	167.088846	0.088509
RNF144B	206.736016	157.362563	0.339879	63.595559	557.224368	0.049543
RNF43	26.321977	4.778467	0.180067	2.500088	0.0	0.0
RPS6KA1	0.0	0.0	0.072952	2.062773	51.657276	1.30254
RUNX1	0.162965	17.181656	0.0	0.706332	162.181196	0.038642
RYR2	0.893342	2.254418	306.192192	70.52164	0.0	7.179029
SAMSN1	0.196903	0.0	0.0	8.55349	1140.56914	0.0
SCD	568.629028	258.827697	108.732766	104.383259	120.465078	4113.282449
SCN3B	5.569174	8.398147	340.020474	111.853448	0.0	5.117077
SDC4	813.831445	28.315018	5.152212	4.245812	0.252022	0.250172
SEMA5A	4.765447	109.935838	77.301998	81.543139	0.0	39.550773
SERPINB9	331.596799	270.202207	76.907793	272.608831	2581.074917	51.218383
SFXN5	149.410025	3.902991	4.068347	4.252823	0.0	0.379192
SGK1	9.400381	467.751217	58.788451	90.47831	2511.166755	691.112886
SH2B3	42.221978	9.998198	56.616	28.404014	1295.92869	35.823806
SH3GL2	20.300443	1.236392	433.494662	80.814262	0.431229	0.0
SLAIN1	82.800491	165.443379	54.2688	79.926613	110.717628	2343.936565
SLC12A2	78.468025	566.184102	90.170948	101.877823	0.718443	1353.062144
SLC15A2	761.814642	2.846071	26.98962	13.386213	34.436578	1.400759
SLC17A7	0.040391	0.966799	398.526867	1.642269	0.0	1.194143
SLC1A3	6654.553884	252.929242	258.506104	61.912409	1945.69066	265.874166
SLC1A5	0.361293	62.471866	0.0	1.101777	84.263254	0.0
SLC24A2	20.552569	58.305576	320.1646	198.265175	11.946587	1544.65499
SLC25A18	909.811888	0.0	29.255461	23.057924	0.0	4.928752
SLC2A5	5.088164	0.084817	0.0	0.460487	262.185663	0.772857
SLC2A9	0.519794	2.90493	1.181089	0.620503	39.812855	0.034549
SLC30A10	142.97364	1.873316	0.224455	17.621201	0.0	0.0
SLC35F1	333.782842	100.404386	580.516456	762.835999	0.730038	47.53456
SLC50A1	52.508046	46.778247	27.585883	16.492368	273.257012	21.951895
SLC7A11	760.537458	388.487889	35.417989	4.284957	0.141487	4.75734
SLC7A7	1.201584	0.0	3.528752	11.706187	475.265512	0.195989
SLCO1A2	0.674663	194.199661	8.663612	0.585412	0.0	406.220055
SLCO1C1	1835.832525	98.521323	18.004821	23.198829	120.188984	0.793318
SLIT1	12.226044	0.204305	124.563075	54.847332	0.0	1.221224
SOAT1	39.207271	55.521014	24.773358	34.492883	698.480238	11.123096
SP100	0.050965	127.133963	0.064002	2.579697	117.391621	0.738254
SPARCL1	16638.25712	3491.88172	2965.564585	1921.659455	163.754667	139.753911
SRGN	21.656564	3181.083672	2.985502	73.788173	14668.88425	2.393196
ST6GAL1	2.223678	247.019339	4.062535	8.991644	758.043324	0.184959
ST8SIA4	19.877034	15.58861	3.088186	39.743033	304.380528	0.149806
STK4	10.265551	21.81518	113.371379	39.772303	438.289887	41.602879
STMN1	142.508403	558.573912	3705.906306	1589.2999	64.827397	2143.456212
SULF2	0.63424	117.29918	40.181067	40.501669	52.277297	10.965451
SULT4A1	0.514648	18.783852	454.086553	303.227782	0.0	1.044587
SYK	0.03172	0.0	0.0	1.350506	110.29175	0.11297
SYN1	8.339685	6.013261	227.974753	91.170565	13.158317	12.732316
SYN2	9.581307	0.944224	475.630076	114.184833	1.944209	0.10492
SYNPR	27.752635	53.688129	704.920003	1623.523937	0.0	30.437507
SYT4	16.416425	16.336334	615.635988	332.620761	0.0	15.002131
TACC1	240.20021	1199.161788	223.768514	103.165452	320.453329	156.500751
TMEM106A	12.346571	5.106863	0.0	0.95762	40.017683	0.059417
TMEM144	123.26025	195.249303	64.905863	35.128924	287.546014	3654.186461
TMEM156	0.763525	12.901865	0.451731	1.267493	132.85586	0.0
TMEM71	0.0	64.589712	0.14572	2.84804	418.25724	0.089881
TNFRSF12A	1.89518	30.749916	0.0	0.0	117.790936	0.263514
TNR	1.517341	0.0	23.785257	11.522335	0.09584	4.851781
TRIM14	1.259527	0.0	4.033123	5.820146	29.224367	0.0
TSC22D1	346.504009	1553.421159	652.219937	623.394899	178.600915	183.672591
UCHL1	72.11829	76.97275	2866.959329	1422.231757	1.981395	134.652674
UCP2	0.12914	4.373522	0.0	18.255565	255.485666	11.990876
VAMP5	75.05269	914.571947	0.0	2.361967	54.45167	1.39175
VAMP8	0.0	50.149887	0.0	2.033189	460.090813	0.396346
VCAN	15.770148	33.488828	0.302084	52.282385	0.484163	10.634239
VIM	234.115548	1173.246238	10.532738	10.658062	5.504285	0.291147
VMO1	1.482002	0.0	0.0	26.189818	698.97708	0.0
VSNL1	51.747742	36.661524	2549.077264	1453.297763	0.85903	111.194221
WNT5A	3.524605	0.0	1.573456	64.266006	81.236525	0.942711
ZC3H12A	0.641732	13.510405	0.204749	0.456539	19.069595	1.206104
ZFP36	402.701632	2079.144872	18.614331	52.554329	637.969007	155.603228
ZFP36L1	204.46993	375.487525	9.188243	4.868523	268.514068	0.68399
ZNF385D	7.198039	3.258182	8.962881	133.568603	0.0	1.929948
ZNF703	0.544834	4.844205	0.0	0.153979	0.0	0.0
