Gene	rpkm10_bulk	rpkm15_bulk	rpkm18_bulk
HTR2A	0.032271	0.022783	0.021528
ID4	0.17052	0.125073	0.104215
IDI1	0.710907	0.571476	0.103789
IER3	0.338724	0.688023	1.0
IFNGR1	0.054668	0.017481	0.016119
IL13RA1	0.01653	0.014545	0.019602
IL1RAP	0.04717	0.135849	0.08911
INA	1.0	0.51135	0.330676
INTS6	0.027107	0.0	0.005648
IQGAP1	0.113047	0.0072	0.041065
IRAK3	2.2e-05	2.2e-05	0.000267
ITGA1	0.043175	0.14369	0.127709
ITGB2	0.001184	0.049469	0.010999
ITGB4	0.086903	0.273232	0.20145
ITPR2	0.223213	0.185341	0.092971
JAG1	0.076858	0.024212	0.049792
KHDRBS3	1.0	0.441895	0.348008
KLF10	0.133098	0.090779	0.097216
KLF6	0.52099	0.376705	0.306101
LAMP2	0.0	0.02518	0.001529
LAPTM5	0.0	0.0	0.0
LCP2	0.003927	0.00192	0.01055
LGALS1	0.117143	0.08743	0.322849
LHFPL2	0.05813	0.121495	0.063968
LIPA	0.0	0.0	0.0
LMO4	0.0	0.000192	0.0
LPCAT2	0.0	3.4e-05	0.0
LYZ	0.027813	0.076574	0.055709
MAFB	0.058223	0.020143	0.013253
MAFF	0.00168	0.003744	0.005149
MAGI1	0.009379	0.006911	0.0
MBP	0.012716	0.005768	0.0
MED12L	0.093495	0.059346	0.050396
MGST1	0.119013	0.235608	0.69075
MKLN1	0.84666	0.676626	1.0
MLC1	0.000762	0.000881	0.00041
MOB1A	0.411607	0.289953	0.273672
MOBP	0.004507	1.0	0.469723
MSN	0.273373	0.240789	0.639226
MSX1	0.045782	0.025886	0.031276
MTHFD2	0.016383	0.005399	0.005168
MYC	0.73113	0.167936	0.16363
MYO1F	0.00305	0.001949	0.007114
MYO9B	0.00108	0.013708	0.0
MYT1L	1.0	0.614326	0.517248
NAP1L3	0.137354	0.073557	0.050426
NCAN	1.0	0.582237	0.90725
NEDD9	0.0	0.0	0.0
NELL2	0.0052	0.006548	0.000914
NEUROD6	0.949983	0.243272	0.181359
NFKBIZ	0.0	0.026732	0.057794
NPL	0.001269	0.001495	0.0
NPTX1	0.136738	0.097072	0.133254
NR4A1	0.0	0.0	0.0
NRIP3	0.241228	0.20856	0.139403
NTRK2	0.613745	0.522596	0.707371
OLFM3	0.0	0.0	3.9e-05
OLIG1	1.0	0.72409	0.797135
OLR1	0.0	0.000138	0.000151
OPALIN	0.0	0.062638	0.081383
OSCAR	0.0	0.0	0.011359
P2RX4	0.124602	0.088249	0.114843
PABPC3	0.001364	0.0	0.001106
PAK1	0.00287	0.0	0.009726
PCDH15	1.0	0.450846	0.281474
PCLO	0.004834	0.002426	0.002091
PDE1A	1.0	0.381525	0.372794
PDPN	0.777512	0.342573	0.380161
PDZD2	1.0	0.46671	0.332425
PEAR1	0.010647	0.000563	0.0
PELI1	0.001621	0.002231	0.000855
PGM5	0.095875	0.224044	1.0
PLCB2	0.0	0.0	0.0
PLEK	0.0	4.2e-05	0.0
PLEKHH1	0.018687	0.073625	0.054547
PLK3	0.360332	0.36876	0.200523
PLLP	0.03816	0.518179	0.471292
PLVAP	0.321953	0.879397	0.594769
PNMA2	0.01134	0.003022	0.002527
PPP1R3C	0.166366	0.248901	0.200713
PPP2R2C	1.0	0.781865	0.608334
PRDM1	0.0	0.0	0.0
PRKCB	0.371798	0.422293	0.307187
PRRX1	0.53106	0.236537	0.352636
PSTPIP2	1.0	0.338293	0.437587
PTPN6	0.011888	0.00961	0.013474
PTPRN2	0.055687	0.025677	0.044818
QDPR	0.175618	0.077839	0.082286
RAB20	0.186905	0.138254	0.264727
RAB31	1.0	0.857337	0.857337
RAB3A	1.0	0.851995	0.719339
RAB3C	0.05499	0.060402	0.044091
RASSF2	0.000471	0.0	0.000177
RGS12	0.18855	0.08902	0.075033
RGS4	0.455697	0.928711	0.815845
RGS5	0.000433	0.0	0.000599
RGS9	0.726002	0.163888	0.280644
RHOH	0.012926	0.004729	0.002918
RNASET2	0.665744	0.633687	1.0
RND3	0.096108	0.083761	0.124758
RNF144B	0.0	0.0	0.0
RNF43	0.0	0.015188	0.015188
RPS6KA1	0.0	0.000965	0.0
RUNX1	0.0	0.007553	0.014167
RYR2	0.014691	0.019537	0.016658
SAMSN1	6.5e-05	0.000382	0.0
SCD	1.0	1.0	0.199621
SCN3B	0.160221	0.076351	0.06142
SDC4	0.120338	0.179718	0.223354
SEMA5A	0.03237	0.027507	0.012678
SERPINB9	0.0	6.6e-05	7e-05
SFXN5	1.0	0.856302	0.630549
SGK1	0.000284	4.3e-05	0.0
SH2B3	0.016099	0.010083	0.00698
SH3GL2	0.0	0.0	0.000581
SLAIN1	0.133224	0.140671	0.098147
SLC12A2	6e-06	0.0	1.3e-05
SLC15A2	0.216206	0.211481	0.309142
SLC17A7	0.654556	0.654556	1.0
SLC1A3	0.0	8.5e-05	5.3e-05
SLC1A5	0.216769	0.155909	0.12704
SLC24A2	0.018692	0.068459	0.064064
SLC25A18	0.042049	0.0612	0.041298
SLC2A5	0.044624	0.007697	0.00747
SLC2A9	0.0	0.0	0.0
SLC30A10	0.250299	0.087819	0.061999
SLC35F1	0.04463	0.012845	0.012529
SLC50A1	0.238104	0.238104	0.494962
SLC7A11	0.146117	0.093079	0.133907
SLC7A7	6.6e-05	0.0	0.0
SLCO1A2	0.003618	0.0	0.0
SLCO1C1	0.035315	0.00655	0.010356
SLIT1	0.092421	0.027368	0.036113
SOAT1	0.112872	0.112872	0.086993
SP100	0.004371	0.000785	9.8e-05
SPARCL1	0.146037	0.197905	0.171313
SRGN	0.0	2.3e-05	2e-06
ST6GAL1	0.00028	0.0	0.0
ST8SIA4	0.14554	0.016685	0.009849
STK4	0.253657	0.145334	0.138882
STMN1	0.0	3.9e-05	0.0
SULF2	0.02666	0.033122	0.037683
SULT4A1	1.0	0.739022	0.634984
SYK	0.070318	0.060538	0.044267
SYN1	0.020811	0.022279	0.0
SYN2	0.105731	0.078795	0.060653
SYNPR	0.06679	0.032254	0.018146
SYT4	1.0	0.763971	0.573935
TACC1	0.0	0.0	0.0
TMEM106A	0.0	0.0	0.001005
TMEM144	0.0	0.0	0.0
TMEM156	0.000478	0.003689	0.004565
TMEM71	0.022438	0.015234	0.030019
TNFRSF12A	0.31465	0.615753	1.0
TNR	0.929114	1.0	0.562274
TRIM14	0.001377	0.0	0.0
TSC22D1	0.082406	0.029526	0.0
UCHL1	1.0	0.436502	0.265992
UCP2	0.115312	0.140071	0.210164
VAMP5	0.013428	0.050768	0.107324
VAMP8	0.124709	0.25829	0.41472
VCAN	0.040607	0.004261	0.017266
VIM	0.298495	0.357797	1.0
VMO1	0.006985	0.013426	0.009552
VSNL1	0.237116	0.35845	0.220501
WNT5A	0.062787	0.056663	0.064329
ZC3H12A	0.233152	0.576395	0.774302
ZFP36	0.002111	0.011054	0.018812
ZFP36L1	0.765962	0.664239	0.688963
ZNF385D	0.011517	0.023556	0.007778
ZNF703	0.954565	0.695361	1.0
